term,draw_time,draw_result,front_numbers,back_numbers
2026071,2026-06-23,03 08 19 25 31 33 05,"['03', '08', '19', '25', '31', '33']",['05']
2026070,2026-06-21,03 06 08 14 26 27 08,"['03', '06', '08', '14', '26', '27']",['08']
2026069,2026-06-18,12 14 16 17 18 32 08,"['12', '14', '16', '17', '18', '32']",['08']
2026068,2026-06-16,03 05 16 18 29 32 04,"['03', '05', '16', '18', '29', '32']",['04']
2026067,2026-06-14,04 19 27 29 30 32 13,"['04', '19', '27', '29', '30', '32']",['13']
2026066,2026-06-11,05 11 21 23 24 29 16,"['05', '11', '21', '23', '24', '29']",['16']
2026065,2026-06-09,07 08 16 24 30 32 02,"['07', '08', '16', '24', '30', '32']",['02']
2026064,2026-06-07,01 09 15 18 29 33 15,"['01', '09', '15', '18', '29', '33']",['15']
2026063,2026-06-04,02 08 25 28 30 31 02,"['02', '08', '25', '28', '30', '31']",['02']
2026062,2026-06-02,02 04 07 14 28 29 09,"['02', '04', '07', '14', '28', '29']",['09']
2026061,2026-05-31,01 04 05 15 23 28 07,"['01', '04', '05', '15', '23', '28']",['07']
2026060,2026-05-28,07 09 10 16 22 27 11,"['07', '09', '10', '16', '22', '27']",['11']
2026059,2026-05-26,08 16 26 28 29 30 15,"['08', '16', '26', '28', '29', '30']",['15']
2026058,2026-05-24,01 04 07 21 29 30 01,"['01', '04', '07', '21', '29', '30']",['01']
2026057,2026-05-21,01 10 22 24 28 30 07,"['01', '10', '22', '24', '28', '30']",['07']
2026056,2026-05-19,10 19 21 22 31 33 05,"['10', '19', '21', '22', '31', '33']",['05']
2026055,2026-05-17,04 11 24 25 32 33 13,"['04', '11', '24', '25', '32', '33']",['13']
2026054,2026-05-14,13 20 25 29 30 33 02,"['13', '20', '25', '29', '30', '33']",['02']
2026053,2026-05-12,01 02 03 08 13 14 02,"['01', '02', '03', '08', '13', '14']",['02']
2026052,2026-05-10,01 03 11 22 26 31 11,"['01', '03', '11', '22', '26', '31']",['11']
2026051,2026-05-07,09 14 15 16 29 30 10,"['09', '14', '15', '16', '29', '30']",['10']
2026050,2026-05-05,06 09 25 27 28 30 03,"['06', '09', '25', '27', '28', '30']",['03']
2026049,2026-05-03,03 04 14 15 18 20 02,"['03', '04', '14', '15', '18', '20']",['02']
2026048,2026-04-30,09 15 18 24 28 33 01,"['09', '15', '18', '24', '28', '33']",['01']
2026047,2026-04-28,07 16 21 24 27 30 07,"['07', '16', '21', '24', '27', '30']",['07']
2026046,2026-04-26,02 09 10 24 31 33 16,"['02', '09', '10', '24', '31', '33']",['16']
2026045,2026-04-23,04 11 15 17 24 30 15,"['04', '11', '15', '17', '24', '30']",['15']
2026044,2026-04-21,02 14 17 18 22 30 01,"['02', '14', '17', '18', '22', '30']",['01']
2026043,2026-04-19,06 09 14 16 25 32 16,"['06', '09', '14', '16', '25', '32']",['16']
2026042,2026-04-16,02 07 12 19 24 31 10,"['02', '07', '12', '19', '24', '31']",['10']
2026041,2026-04-14,02 08 10 17 19 24 13,"['02', '08', '10', '17', '19', '24']",['13']
2026040,2026-04-12,03 04 14 22 23 33 04,"['03', '04', '14', '22', '23', '33']",['04']
2026039,2026-04-09,08 17 18 21 25 30 05,"['08', '17', '18', '21', '25', '30']",['05']
2026038,2026-04-07,01 02 13 23 25 27 05,"['01', '02', '13', '23', '25', '27']",['05']
2026037,2026-04-05,11 22 27 29 31 33 12,"['11', '22', '27', '29', '31', '33']",['12']
2026036,2026-04-02,06 10 12 15 22 28 08,"['06', '10', '12', '15', '22', '28']",['08']
2026035,2026-03-31,02 06 12 24 25 32 02,"['02', '06', '12', '24', '25', '32']",['02']
2026034,2026-03-29,01 03 07 13 22 23 07,"['01', '03', '07', '13', '22', '23']",['07']
2026033,2026-03-26,03 06 13 21 28 29 06,"['03', '06', '13', '21', '28', '29']",['06']
2026032,2026-03-24,01 03 11 18 31 33 02,"['01', '03', '11', '18', '31', '33']",['02']
2026031,2026-03-22,03 10 12 13 18 33 08,"['03', '10', '12', '13', '18', '33']",['08']
2026030,2026-03-19,10 11 14 19 22 24 04,"['10', '11', '14', '19', '22', '24']",['04']
2026029,2026-03-17,06 19 22 23 28 31 05,"['06', '19', '22', '23', '28', '31']",['05']
2026028,2026-03-15,02 06 09 17 25 28 15,"['02', '06', '09', '17', '25', '28']",['15']
2026027,2026-03-12,02 13 17 18 25 26 13,"['02', '13', '17', '18', '25', '26']",['13']
2026026,2026-03-10,02 09 16 22 25 29 03,"['02', '09', '16', '22', '25', '29']",['03']
2026025,2026-03-08,02 03 15 20 23 24 10,"['02', '03', '15', '20', '23', '24']",['10']
2026024,2026-03-05,01 02 13 21 23 29 14,"['01', '02', '13', '21', '23', '29']",['14']
2026023,2026-03-03,01 03 08 10 23 29 06,"['01', '03', '08', '10', '23', '29']",['06']
2026022,2026-03-01,15 18 23 25 28 32 11,"['15', '18', '23', '25', '28', '32']",['11']
2026021,2026-02-26,03 13 25 26 30 31 04,"['03', '13', '25', '26', '30', '31']",['04']
2026020,2026-02-24,01 13 14 21 24 30 02,"['01', '13', '14', '21', '24', '30']",['02']
2026019,2026-02-12,07 08 16 17 18 30 01,"['07', '08', '16', '17', '18', '30']",['01']
2026018,2026-02-10,11 15 17 22 25 30 07,"['11', '15', '17', '22', '25', '30']",['07']
2026017,2026-02-08,01 03 05 18 29 32 04,"['01', '03', '05', '18', '29', '32']",['04']
2026016,2026-02-05,04 05 09 10 27 30 13,"['04', '05', '09', '10', '27', '30']",['13']
2026015,2026-02-03,07 10 13 22 27 31 12,"['07', '10', '13', '22', '27', '31']",['12']
2026014,2026-02-01,07 13 19 22 26 32 01,"['07', '13', '19', '22', '26', '32']",['01']
2026013,2026-01-29,04 09 12 13 16 20 01,"['04', '09', '12', '13', '16', '20']",['01']
2026012,2026-01-27,03 05 07 16 20 24 08,"['03', '05', '07', '16', '20', '24']",['08']
2026011,2026-01-25,02 03 04 20 31 32 04,"['02', '03', '04', '20', '31', '32']",['04']
